district,state,lat,lon,population,urbanity,fp_unmet_pct,institutional_birth_pct,csection_pct,anaemia_pct
Bhiwandi,Maharashtra,19.25148,73.00633,null,null,null,null,null,null
Chettikulam,Valliyoor,11.33688,77.71858,null,null,null,null,null,null
Budalur,Tamil Nadu,11.75752,79.76146,null,null,null,null,null,null
Sahibabad,Ghaziabad,28.64544,77.37186,null,null,null,null,null,null
Palladam,Tamil Nadu,9.89194,77.71627,null,null,null,null,null,null
Palakkad,Kerala,10.55216,76.50726,null,null,10.8,100.0,31.2,49.6
Dera Bassi,Mohali,30.55653,76.82776,null,null,null,null,null,null
Nawanshahr,Punjab,31.12151,76.12913,null,null,null,null,null,null
Pune,Pune,18.9607,74.31076,null,null,null,null,null,null
Ajnala,Punjab,31.19686,75.58756,null,null,null,null,null,null
Sagar,Madhya Pradesh,23.43062,79.27969,null,null,8.0,86.9,11.6,49.8
Doraha,Punjab,30.80502,75.75437,null,null,null,null,null,null
Jamner,Maharashtra,21.16876,75.69823,null,null,null,null,null,null
Tuticorin,Tamil Nadu,8.80815,78.13999,null,null,null,null,null,null
Guntur,Guntur,16.29715,80.45135,null,null,null,null,null,null
Mandaveli,Tamil Nadu,null,null,null,null,null,null,null,null
Khedbrahma,Gujarat,22.29529,73.15865,null,null,null,null,null,null
Katni,Madhya Pradesh,25.0202,79.29186,null,null,6.0,91.8,5.1,58.7
Madurai,Tamilnadu,9.93862,78.12315,null,null,null,null,null,null
Akluj,Maharashtra,17.87687,74.96202,null,null,null,null,null,null
Jalandhar,Jalandhar-east,31.27982,75.54848,null,null,null,null,null,null
Jamvadi,Gujarat,22.34714,73.17451,null,null,null,null,null,null
Sinnar,Maharashtra,19.09023,74.74248,null,null,null,null,null,null
Sayla,Rajasthan,25.63433,72.44522,null,null,null,null,null,null
Koregaon,Maharashtra,19.18713,72.96863,null,null,null,null,null,null
Tarn Taran,Punjab,31.45783,74.92311,null,null,8.0,96.0,36.7,61.7
Nesvad,Gujarat,21.07674,71.74757,null,null,null,null,null,null
Manjeri,Malappuram,11.11662,76.13371,null,null,null,null,null,null
Tarnaka,Telangana,17.40827,78.45045,null,null,null,null,null,null
Alappuzha,Kerala,9.66972,76.3395,null,null,12.3,99.4,47.8,31.9
Egmore,Tamil Nadu,13.06047,80.203,null,null,null,null,null,null
Patpur,West Bengal,23.23066,87.06059,null,null,null,null,null,null
Trown,Jammu And Kashmir,34.13983,74.83965,null,null,null,null,null,null
Bhadohi,Uttar Pradesh,25.68713,82.6231,null,null,null,null,null,null
Sircilla,Telangana,18.39081,78.80965,null,null,null,null,null,null
Tiruvannamalai,Tamil Nadu,11.21361,78.64635,null,null,5.1,99.1,27.7,56.6
Matunga East,Maharashtra,19.02685,72.85411,null,null,null,null,null,null
Annanagar,Tamil Nadu,9.92341,78.14124,null,null,null,null,null,null
Allahabad,Budaun,27.86855,78.07622,null,null,null,null,null,null
Batala,Punjab,31.81885,75.20489,null,null,null,null,null,null
